29 Jul 2021 - 04:51:49.654 [main] INFO  B.e.gradeBook.EGradeBookApplication - Starting EGradeBookApplication using Java 15.0.2 on DESKTOP-GAE95KF with PID 2288 (C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook\target\classes started by admin in C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook)
29 Jul 2021 - 04:51:49.659 [main] INFO  B.e.gradeBook.EGradeBookApplication - No active profile set, falling back to default profiles: default
29 Jul 2021 - 04:51:50.510 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
29 Jul 2021 - 04:51:50.636 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 113 ms. Found 11 JPA repository interfaces.
29 Jul 2021 - 04:51:50.954 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@380e1909' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 04:51:50.959 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 04:51:51.227 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
29 Jul 2021 - 04:51:51.240 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
29 Jul 2021 - 04:51:51.241 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
29 Jul 2021 - 04:51:51.369 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
29 Jul 2021 - 04:51:51.369 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1672 ms
29 Jul 2021 - 04:51:52.125 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
29 Jul 2021 - 04:51:52.473 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
29 Jul 2021 - 04:51:53.523 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 04:51:53.561 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
29 Jul 2021 - 04:51:54.342 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 95f67e5f-59ac-4644-8030-be1bbb57c730

29 Jul 2021 - 04:51:54.456 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@793248d, org.springframework.security.web.context.SecurityContextPersistenceFilter@64dfa1a3, org.springframework.security.web.header.HeaderWriterFilter@207f7baa, org.springframework.security.web.authentication.logout.LogoutFilter@22b4ad0c, Brains2021.electronic.gradeBook.config.JWTAuthorizationFilter@6731b6bd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7866ffa, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@213bd66a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@768f2398, org.springframework.security.web.session.SessionManagementFilter@4138af7, org.springframework.security.web.access.ExceptionTranslationFilter@4687fee7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@51eeae0a]
29 Jul 2021 - 04:51:54.859 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
29 Jul 2021 - 04:51:54.867 [main] INFO  B.e.gradeBook.EGradeBookApplication - Started EGradeBookApplication in 5.591 seconds (JVM running for 6.582)
29 Jul 2021 - 04:52:18.846 [http-nio-8090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
29 Jul 2021 - 04:52:18.898 [http-nio-8090-exec-1] INFO  B.e.g.controllers.UserController - **LOGIN** User rwing1y attempting to log into the system.
29 Jul 2021 - 04:52:19.053 [http-nio-8090-exec-1] INFO  B.e.g.controllers.UserController - **LOGIN** Both attempt to find user rwing1y in the database and password validation turned out to be successful.
29 Jul 2021 - 04:52:19.053 [http-nio-8090-exec-1] INFO  B.e.g.controllers.UserController - **LOGIN** Attempting to create a token.
29 Jul 2021 - 04:52:19.140 [http-nio-8090-exec-1] INFO  B.e.g.controllers.UserController - **LOGIN** Assigning the token to a DTO.
29 Jul 2021 - 04:52:19.140 [http-nio-8090-exec-1] INFO  B.e.g.controllers.UserController - **LOGIN** User rwing1y has successfuly logged in the system.
29 Jul 2021 - 04:52:30.147 [http-nio-8090-exec-3] INFO  B.e.g.controllers.UserController - **LOGIN** User admin attempting to log into the system.
29 Jul 2021 - 04:52:30.242 [http-nio-8090-exec-3] INFO  B.e.g.controllers.UserController - **LOGIN** Both attempt to find user admin in the database and password validation turned out to be successful.
29 Jul 2021 - 04:52:30.242 [http-nio-8090-exec-3] INFO  B.e.g.controllers.UserController - **LOGIN** Attempting to create a token.
29 Jul 2021 - 04:52:30.243 [http-nio-8090-exec-3] INFO  B.e.g.controllers.UserController - **LOGIN** Assigning the token to a DTO.
29 Jul 2021 - 04:52:30.244 [http-nio-8090-exec-3] INFO  B.e.g.controllers.UserController - **LOGIN** User admin has successfuly logged in the system.
29 Jul 2021 - 04:54:13.396 [http-nio-8090-exec-6] INFO  B.e.g.controllers.SubjectController - **GET ALL SUBJECTS** Access to the endpoint successful.
29 Jul 2021 - 04:54:13.396 [http-nio-8090-exec-6] INFO  B.e.g.controllers.SubjectController - **GET ALL SUBJECTS** Attempt to find subjects in database.
29 Jul 2021 - 04:54:13.419 [http-nio-8090-exec-6] INFO  B.e.g.controllers.SubjectController - **GET ALL ASSIGNMENTS** Attempt successful, list retrieved. Exiting controller
29 Jul 2021 - 04:56:23.939 [RMI TCP Connection(8)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
